tf-idf,keywords
0.53928994,接口
0.534640889,服务
0.371924097,标准
0.218505407,知识
0.139471536,要求
0.125524383,数据服务
0.120875331,进行
0.097630075,查询
0.092981024,数字
0.088331973,数据
0.083682922,service
0.079033871,调用
0.074384819,规范
0.069735768,认证
0.065086717,信息
0.065086717,设计
0.060437666,命名
0.060437666,条款
0.060437666,电力
0.055788614,http
0.055788614,服务提供者
0.051139563,应用
0.051139563,文件
0.051139563,状态
0.051139563,请求
0.051139563,需求
0.046490512,主要
0.046490512,定义
0.046490512,流程
0.046490512,访问
0.046490512,返回
0.041841461,使用
0.041841461,处理
0.041841461,安全
0.041841461,异常
0.03719241,standard
0.03719241,包括
0.03719241,协议
0.03719241,名称
0.03719241,响应
0.03719241,国家电网
0.03719241,示例
0.03719241,管理
0.03719241,组件
0.03719241,访问者
0.03719241,识别
0.032543358,业务
0.032543358,公司
0.032543358,发布
0.032543358,如下
0.032543358,差异
0.032543358,引用
0.032543358,总体
0.032543358,意见
0.032543358,有限公司
0.032543358,根据
0.032543358,编制
0.032543358,资源
0.027894307,url
0.027894307,实现
0.027894307,技术
0.027894307,提供
0.027894307,术语
0.027894307,注册
0.027894307,相关
0.027894307,范围
0.027894307,路径
0.027894307,过程
0.027894307,适用
0.027894307,采用
0.023245256,json
0.023245256,xxx
0.023245256,xxxx
0.023245256,以下
0.023245256,单位
0.023245256,工作
0.023245256,提出
0.023245256,智能
0.023245256,格式
0.023245256,概述
0.023245256,生成
0.023245256,系统
0.023245256,缩略语
0.023245256,规则
0.023245256,运行
0.023245256,通过
0.023245256,遵循
0.023245256,驼峰
0.018596205,10
0.018596205,rest
0.018596205,web
0.018596205,xml
0.018596205,于本
0.018596205,入参
0.018596205,出参
0.018596205,单词
0.018596205,原则
0.018596205,发展
0.018596205,国网
0.018596205,场景
0.018596205,开发
0.018596205,按照
0.018596205,接口技术
0.018596205,描述
0.018596205,数据格式
0.018596205,权限
0.018596205,监控
0.018596205,统一
0.018596205,规范性
0.018596205,针对
0.018596205,集团
0.018596205,需要
0.013947154,2023
0.013947154,api
0.013947154,code
0.013947154,gdw
0.013947154,一个
0.013947154,下列
0.013947154,不同
0.013947154,中台
0.013947154,交互
0.013947154,传输
0.013947154,保证
0.013947154,修改
0.013947154,具体
0.013947154,制定
0.013947154,因此
0.013947154,基于
0.013947154,字母
0.013947154,对象
0.013947154,序列化
0.013947154,形式
0.013947154,接口定义
0.013947154,接口标准
0.013947154,数据结构
0.013947154,方式
0.013947154,日期
0.013947154,满足
0.013947154,电力行业
0.013947154,监测
0.013947154,相结合
0.013947154,符合
0.013947154,组织
0.013947154,结合
0.013947154,结果
0.013947154,维护
0.013947154,编写
0.013947154,英文
0.013947154,评审
0.013947154,送审稿
0.013947154,通信产业
0.013947154,避免
0.013947154,部分
0.013947154,重启
0.013947154,问答
0.009298102,7
0.009298102,11
0.009298102,16
0.009298102,200
0.009298102,2024
0.009298102,advise
0.009298102,basic
0.009298102,clause
0.009298102,consumer
0.009298102,https
0.009298102,hypertext
0.009298102,interface
0.009298102,javascript
0.009298102,key
0.009298102,page
0.009298102,protocol
0.009298102,provider
0.009298102,resource
0.009298102,return
0.009298102,success
0.009298102,transfer
0.009298102,uniform
0.009298102,xx
0.009298102,一组
0.009298102,下划线
0.009298102,专家
0.009298102,中国
0.009298102,为了
0.009298102,以及
0.009298102,企业
0.009298102,优化
0.009298102,依据
0.009298102,保存
0.009298102,内存
0.009298102,内容
0.009298102,凡是
0.009298102,分析
0.009298102,制造
0.009298102,功能
0.009298102,包含
0.009298102,参考
0.009298102,发现
0.009298102,发生变化
0.009298102,各个
0.009298102,国网公司
0.009298102,地址
0.009298102,基本
0.009298102,子目录
0.009298102,实体
0.009298102,对于
0.009298102,对外
0.009298102,对本
0.009298102,小写
0.009298102,平台
0.009298102,开头
0.009298102,归口
0.009298102,形成
0.009298102,必须
0.009298102,性质
0.009298102,成功
0.009298102,或者
0.009298102,所属
0.009298102,所示
0.009298102,执行
0.009298102,技术标准
0.009298102,授权
0.009298102,推进
0.009298102,操作
0.009298102,数字化
0.009298102,方法
0.009298102,日志
0.009298102,时间
0.009298102,是否
0.009298102,最新
0.009298102,最终
0.009298102,有关
0.009298102,机构
0.009298102,条文
0.009298102,标准化
0.009298102,标准文件
0.009298102,标识
0.009298102,沉淀
0.009298102,消费者
0.009298102,版本
0.009298102,版本号
0.009298102,特点
0.009298102,现行
0.009298102,电力系统
0.009298102,相应
0.009298102,研发
0.009298102,研究
0.009298102,研究院
0.009298102,科技部
0.009298102,第一个
0.009298102,简称
0.009298102,组成
0.009298102,编码
0.009298102,编程
0.009298102,联网
0.009298102,背景
0.009298102,见表
0.009298102,规划
0.009298102,词语
0.009298102,语言
0.009298102,说明
0.009298102,调用者
0.009298102,资料性
0.009298102,超文本
0.009298102,超过
0.009298102,转发
0.009298102,选择
0.009298102,部门
0.009298102,配置
0.009298102,附录
0.004649051,12
0.004649051,12105
0.004649051,1.73658E+18
0.004649051,2011
0.004649051,2019
0.004649051,2021
0.004649051,622
0.004649051,64
0.004649051,807
0.004649051,apiversion
0.004649051,app
0.004649051,appkey
0.004649051,application
0.004649051,appsecret
0.004649051,authadv
0.004649051,data
0.004649051,digital
0.004649051,discrepancy
0.004649051,engineering
0.004649051,extensible
0.004649051,force
0.004649051,get
0.004649051,getbystaid
0.004649051,id
0.004649051,identifier
0.004649051,iec
0.004649051,ii
0.004649051,internet
0.004649051,knowledge
0.004649051,language
0.004649051,library
0.004649051,locator
0.004649051,markup
0.004649051,message
0.004649051,notation
0.004649051,object
0.004649051,openapi
0.004649051,power
0.004649051,programming
0.004649051,public
0.004649051,qa
0.004649051,rfc7231
0.004649051,secure
0.004649051,sgri
0.004649051,specification
0.004649051,staid
0.004649051,task
0.004649051,token
0.004649051,tokenne
0.004649051,TRUE
0.004649051,uri
0.004649051,utf
0.004649051,v1
0.004649051,wmcenter
0.004649051,一切
0.004649051,一套
0.004649051,一定
0.004649051,一种
0.004649051,一致
0.004649051,三个
0.004649051,三段式
0.004649051,下达
0.004649051,不注
0.004649051,专题讨论
0.004649051,业务部门
0.004649051,两个
0.004649051,两种
0.004649051,严格
0.004649051,个字符
0.004649051,中应
0.004649051,中性
0.004649051,中间
0.004649051,习惯
0.004649051,互联网
0.004649051,交付
0.004649051,仅注
0.004649051,介绍
0.004649051,代码
